pair,date,month,side,outcome,tie,k,y,arm
EURUSD,2021-11-29,2021-11,bottom,reversal,False,1,1,confirm10
EURUSD,2022-03-10,2022-03,bottom,continuation,False,2,0,confirm10
EURUSD,2022-07-14,2022-07,bottom,reversal,False,2,1,confirm10
EURUSD,2022-12-12,2022-12,top,continuation,False,3,0,confirm10
EURUSD,2023-10-03,2023-10,bottom,reversal,False,3,1,confirm10
EURUSD,2023-12-28,2023-12,top,reversal,False,1,1,confirm10
EURUSD,2024-08-26,2024-08,top,reversal,False,3,1,confirm10
EURUSD,2025-03-20,2025-03,top,reversal,False,5,1,confirm10
EURUSD,2025-04-08,2025-04,top,continuation,False,1,0,confirm10
EURUSD,2026-06-26,2026-06,bottom,reversal,False,5,1,confirm10
GBPUSD,2021-12-10,2021-12,bottom,reversal,False,3,1,confirm10
GBPUSD,2022-03-11,2022-03,bottom,reversal,False,4,1,confirm10
GBPUSD,2022-04-29,2022-04,bottom,continuation,False,4,0,confirm10
GBPUSD,2022-07-13,2022-07,bottom,continuation,False,2,0,confirm10
GBPUSD,2022-09-23,2022-09,bottom,continuation,False,1,0,confirm10
GBPUSD,2023-09-28,2023-09,bottom,continuation,False,3,0,confirm10
GBPUSD,2024-01-02,2024-01,top,continuation,False,8,0,confirm10
GBPUSD,2024-08-28,2024-08,top,reversal,False,3,1,confirm10
GBPUSD,2025-11-10,2025-11,bottom,continuation,False,8,0,confirm10
GBPUSD,2026-02-03,2026-02,top,reversal,False,2,1,confirm10
USDJPY,2021-03-10,2021-03,top,continuation,False,3,0,confirm10
USDJPY,2021-10-14,2021-10,top,continuation,False,1,0,confirm10
USDJPY,2022-01-10,2022-01,top,reversal,False,1,1,confirm10
USDJPY,2022-03-25,2022-03,top,continuation,False,1,0,confirm10
USDJPY,2022-06-10,2022-06,top,continuation,False,1,0,confirm10
USDJPY,2022-12-30,2022-12,bottom,continuation,False,2,0,confirm10
USDJPY,2023-06-29,2023-06,top,reversal,False,6,1,confirm10
USDJPY,2024-04-18,2024-04,top,reversal,False,1,1,confirm10
USDJPY,2024-07-08,2024-07,top,reversal,False,4,1,confirm10
USDJPY,2024-08-14,2024-08,bottom,reversal,False,2,1,confirm10
USDJPY,2025-04-21,2025-04,bottom,reversal,False,2,1,confirm10
USDJPY,2026-08-10,2026-08,top,continuation,False,15,0,confirm10
USDCAD,2021-05-17,2021-05,bottom,continuation,False,1,0,confirm10
USDCAD,2021-12-22,2021-12,top,reversal,False,1,1,confirm10
USDCAD,2022-09-30,2022-09,top,reversal,False,2,1,confirm10
USDCAD,2023-12-29,2023-12,bottom,reversal,False,2,1,confirm10
USDCAD,2026-02-02,2026-02,bottom,reversal,False,4,1,confirm10
USDCAD,2026-06-12,2026-06,top,continuation,False,4,0,confirm10
NZDUSD,2021-12-06,2021-12,bottom,reversal,False,3,1,confirm10
NZDUSD,2022-07-11,2022-07,bottom,continuation,False,4,0,confirm10
NZDUSD,2022-09-27,2022-09,bottom,continuation,False,1,0,confirm10
NZDUSD,2023-12-22,2023-12,top,continuation,False,3,0,confirm10
NZDUSD,2025-10-17,2025-10,bottom,reversal,False,6,1,confirm10
NZDUSD,2026-02-03,2026-02,top,reversal,False,3,1,confirm10
AUDUSD,2021-12-01,2021-12,bottom,continuation,False,1,0,confirm10
AUDUSD,2022-10-05,2022-10,bottom,continuation,False,3,0,confirm10
AUDUSD,2023-12-26,2023-12,top,continuation,False,2,0,confirm10
AUDUSD,2026-01-29,2026-01,top,reversal,False,1,1,confirm10
USDCHF,2021-03-18,2021-03,top,continuation,False,4,0,confirm10
USDCHF,2022-05-02,2022-05,top,continuation,False,2,0,confirm10
USDCHF,2022-06-15,2022-06,top,reversal,False,1,1,confirm10
USDCHF,2023-07-19,2023-07,bottom,reversal,False,2,1,confirm10
USDCHF,2023-10-09,2023-10,top,reversal,False,1,1,confirm10
USDCHF,2024-03-29,2024-03,top,continuation,False,2,0,confirm10
USDCHF,2024-08-06,2024-08,bottom,reversal,False,1,1,confirm10
USDCHF,2024-11-26,2024-11,top,reversal,False,2,1,confirm10
USDCHF,2025-04-08,2025-04,bottom,continuation,False,1,0,confirm10
EURJPY,2021-05-11,2021-05,top,continuation,False,5,0,confirm10
EURJPY,2022-04-01,2022-04,top,continuation,False,6,0,confirm10
EURJPY,2023-06-30,2023-06,top,reversal,False,5,1,confirm10
EURJPY,2023-11-20,2023-11,top,continuation,False,4,0,confirm10
EURJPY,2024-08-16,2024-08,bottom,continuation,False,1,0,confirm10
EURJPY,2024-12-05,2024-12,bottom,reversal,False,3,1,confirm10
EURJPY,2025-06-30,2025-06,top,continuation,False,4,0,confirm10
EURJPY,2025-12-02,2025-12,top,continuation,False,5,0,confirm10
EURJPY,2025-12-12,2025-12,top,reversal,False,1,1,confirm10
GBPJPY,2021-02-25,2021-02,top,reversal,False,1,1,confirm10
GBPJPY,2021-10-28,2021-10,top,reversal,False,3,1,confirm10
GBPJPY,2022-03-30,2022-03,top,continuation,False,5,0,confirm10
GBPJPY,2023-06-20,2023-06,top,continuation,False,3,0,confirm10
GBPJPY,2024-07-09,2024-07,top,continuation,False,2,0,confirm10
GBPJPY,2024-07-29,2024-07,top,continuation,False,1,0,confirm10
GBPJPY,2024-08-20,2024-08,bottom,reversal,False,10,1,confirm10
GBPJPY,2025-12-12,2025-12,top,reversal,False,1,1,confirm10
CADJPY,2021-03-10,2021-03,top,continuation,False,2,0,confirm10
CADJPY,2021-10-21,2021-10,top,reversal,False,3,1,confirm10
CADJPY,2022-03-30,2022-03,top,continuation,False,5,0,confirm10
CADJPY,2022-12-15,2022-12,bottom,continuation,False,2,0,confirm10
CADJPY,2023-06-22,2023-06,top,continuation,False,2,0,confirm10
CADJPY,2024-07-08,2024-07,top,continuation,False,3,0,confirm10
CADJPY,2024-08-09,2024-08,bottom,reversal,False,17,1,confirm10
CADJPY,2025-03-10,2025-03,bottom,reversal,False,6,1,confirm10
AUDJPY,2021-02-26,2021-02,top,continuation,False,3,0,confirm10
AUDJPY,2021-08-25,2021-08,bottom,reversal,False,4,1,confirm10
AUDJPY,2021-10-21,2021-10,top,reversal,False,9,1,confirm10
AUDJPY,2022-03-25,2022-03,top,continuation,False,1,0,confirm10
AUDJPY,2023-03-27,2023-03,bottom,reversal,False,3,1,confirm10
AUDJPY,2023-06-21,2023-06,top,reversal,False,12,1,confirm10
AUDJPY,2024-07-05,2024-07,top,continuation,False,4,0,confirm10
AUDJPY,2024-08-14,2024-08,bottom,reversal,False,13,1,confirm10
AUDJPY,2025-03-10,2025-03,bottom,continuation,False,1,0,confirm10
NZDJPY,2021-03-01,2021-03,top,continuation,False,2,0,confirm10
NZDJPY,2021-10-26,2021-10,top,reversal,False,6,1,confirm10
NZDJPY,2022-03-22,2022-03,top,continuation,False,1,0,confirm10
NZDJPY,2024-05-22,2024-05,top,continuation,False,4,0,confirm10
NZDJPY,2024-07-01,2024-07,top,continuation,False,7,0,confirm10
NZDJPY,2024-07-22,2024-07,top,reversal,False,1,1,confirm10
NZDJPY,2024-08-09,2024-08,bottom,continuation,False,3,0,confirm10
NZDJPY,2025-03-07,2025-03,bottom,continuation,False,2,0,confirm10
EURUSD,2022-03-10,2022-03,bottom,continuation,False,2,0,confirm5
EURUSD,2022-07-14,2022-07,bottom,reversal,False,2,1,confirm5
EURUSD,2022-12-12,2022-12,top,continuation,False,3,0,confirm5
EURUSD,2023-10-03,2023-10,bottom,reversal,False,3,1,confirm5
EURUSD,2023-12-28,2023-12,top,reversal,False,1,1,confirm5
EURUSD,2024-08-26,2024-08,top,reversal,False,3,1,confirm5
EURUSD,2025-04-08,2025-04,top,continuation,False,1,0,confirm5
EURUSD,2026-06-26,2026-06,bottom,reversal,False,5,1,confirm5
GBPUSD,2021-12-10,2021-12,bottom,reversal,False,3,1,confirm5
GBPUSD,2022-03-11,2022-03,bottom,reversal,False,4,1,confirm5
GBPUSD,2022-04-29,2022-04,bottom,continuation,False,4,0,confirm5
GBPUSD,2022-07-13,2022-07,bottom,continuation,False,2,0,confirm5
GBPUSD,2022-09-23,2022-09,bottom,continuation,False,1,0,confirm5
GBPUSD,2023-09-28,2023-09,bottom,continuation,False,3,0,confirm5
GBPUSD,2024-01-02,2024-01,top,continuation,False,8,0,confirm5
GBPUSD,2024-08-28,2024-08,top,reversal,False,3,1,confirm5
GBPUSD,2025-11-10,2025-11,bottom,continuation,False,8,0,confirm5
GBPUSD,2026-02-03,2026-02,top,reversal,False,2,1,confirm5
USDJPY,2021-03-10,2021-03,top,continuation,False,3,0,confirm5
USDJPY,2021-10-14,2021-10,top,continuation,False,1,0,confirm5
USDJPY,2022-01-10,2022-01,top,reversal,False,1,1,confirm5
USDJPY,2022-03-25,2022-03,top,continuation,False,1,0,confirm5
USDJPY,2022-06-10,2022-06,top,continuation,False,1,0,confirm5
USDJPY,2022-12-30,2022-12,bottom,continuation,False,2,0,confirm5
USDJPY,2023-06-29,2023-06,top,reversal,False,6,1,confirm5
USDJPY,2024-04-18,2024-04,top,reversal,False,1,1,confirm5
USDJPY,2025-04-21,2025-04,bottom,reversal,False,2,1,confirm5
USDJPY,2026-08-10,2026-08,top,continuation,False,15,0,confirm5
USDCAD,2021-05-17,2021-05,bottom,continuation,False,1,0,confirm5
USDCAD,2021-12-22,2021-12,top,reversal,False,1,1,confirm5
USDCAD,2022-09-30,2022-09,top,reversal,False,2,1,confirm5
USDCAD,2023-12-29,2023-12,bottom,reversal,False,2,1,confirm5
USDCAD,2026-02-02,2026-02,bottom,reversal,False,4,1,confirm5
USDCAD,2026-06-12,2026-06,top,continuation,False,4,0,confirm5
NZDUSD,2022-07-11,2022-07,bottom,continuation,False,4,0,confirm5
NZDUSD,2022-09-27,2022-09,bottom,continuation,False,1,0,confirm5
NZDUSD,2023-12-22,2023-12,top,continuation,False,3,0,confirm5
NZDUSD,2025-10-17,2025-10,bottom,reversal,False,6,1,confirm5
NZDUSD,2026-02-03,2026-02,top,reversal,False,3,1,confirm5
AUDUSD,2021-12-01,2021-12,bottom,continuation,False,1,0,confirm5
AUDUSD,2022-10-05,2022-10,bottom,continuation,False,3,0,confirm5
AUDUSD,2023-12-26,2023-12,top,continuation,False,2,0,confirm5
AUDUSD,2026-01-29,2026-01,top,reversal,False,1,1,confirm5
USDCHF,2022-05-02,2022-05,top,continuation,False,2,0,confirm5
USDCHF,2022-06-15,2022-06,top,reversal,False,1,1,confirm5
USDCHF,2023-07-19,2023-07,bottom,reversal,False,2,1,confirm5
USDCHF,2024-03-29,2024-03,top,continuation,False,2,0,confirm5
USDCHF,2024-08-06,2024-08,bottom,reversal,False,1,1,confirm5
USDCHF,2025-04-08,2025-04,bottom,continuation,False,1,0,confirm5
